Word,Frequency
art,22
development,17
skills,13
digital,12
topics,12
history,11
introduction,11
emphasis,11
techniques,10
visual,10
media,10
contemporary,9
materials,7
develop,7
work,7
professional,7
form,6
concepts,6
color,6
technical,6
issues,6
exploration,6
body,6
processes,6
present,5
fundamentals,5
drawing,5
including,5
design,5
creative,5
problem,5
solving,5
cohesive,5
composition,4
include,4
well,4
painting,4
basic,4
methods,4
study,4
printing,4
historical,4
forming,4
understanding,4
conceptual,4
continued,4
individual,4
practice,4
world,3
architecture,3
space,3
organization,3
various,3
context,3
forms,3
principles,3
formal,3
practices,3
concentration,3
andor,3
thinking,3
fabrication,3
stone,3
tool,3
observation,3
camera,3
image,3
communication,3
glazing,3
explores,3
theory,3
alternative,3
studio,3
print,3
lighting,3
investigation,3
casting,3
personal,3
photo,3
preparation,3
twopart,2
survey,2
covers,2
europe,2
africa,2
asia,2
americas,2
training,2
shape,2
discussion,2
perception,2
cultural,2
dimensions,2
arts,2
new,2
subject,2
matter,2
relief,2
intaglio,2
monotype,2
lithography,2
vocabulary,2
objects,2
presentation,2
usage,2
safety,2
human,2
figure,2
direct,2
fine,2
analog,2
photography,2
operations,2
film,2
silver,2
discuss,2
functions,2
imaging,2
control,2
making,2
traditional,2
setting,2
intuitive,2
global,2
trends,2
informed,2
writing,2
antiquity,2
museums,2
exhibition,2
capstone,2
class,2
focus,2
research,2
gallery,2
exhibitions,2
ideas,2
communicate,2
intuition,2
vision,2
build,2
associated,2
firing,2
archival,2
pigment,2
activism,2
involves,2
artwork,2
interests,2
problems,2
portfolio,2
creation,2
first,1
prehistory,1
middle,1
ages,1
second,1
approximately,1
1400,1
ce,1
day,1
line,1
texture,1
value,1
2dimensional,1
nature,1
illusions,1
influences,1
organizing,1
three,1
3d,1
relation,1
products,1
prototype,1
focusing,1
computers,1
networks,1
timebased,1
qualities,1
political,1
questions,1
genre,1
subjectivity,1
narrative,1
aesthetics,1
printmaking,1
sculpture,1
threedimensional,1
steel,1
fibers,1
wood,1
reduction,1
plaster,1
found,1
correct,1
accurate,1
rendering,1
scientific,1
subjects,1
includes,1
anatomy,1
interest,1
artist,1
blackandwhite,1
gelatin,1
photographers,1
software,1
lensbased,1
illustration,1
workflow,1
base,1
metals,1
sawing,1
soldering,1
etching,1
proper,1
post1970,1
placed,1
theoretical,1
models,1
generate,1
analysis,1
greater,1
detail,1
combination,1
seminar,1
meetings,1
assignments,1
presentations,1
western,1
nonwestern,1
american,1
precontact,1
addresses,1
display,1
impact,1
cultures,1
histories,1
examines,1
collection,1
education,1
particular,1
attention,1
given,1
diversity,1
multiculturalism,1
visits,1
virtual,1
galleries,1
spaces,1
important,1
element,1
beginning,1
crosslisted,1
308,1
advanced,1
majors,1
refinement,1
related,1
crossdisciplinary,1
seminarlab,1
production,1
demonstrates,1
perceptual,1
acuity,1
level,1
required,1
participation,1
critiques,1
discussions,1
readings,1
overview,1
museum,1
structural,1
collections,1
management,1
conservation,1
installation,1
organize,1
install,1
reese,1
bullen,1
provides,1
universitylevel,1
teaching,1
guidance,1
master,1
teacher,1
learn,1
curriculum,1
assist,1
instructor,1
classroom,1
ways,1
figurative,1
used,1
explore,1
rather,1
larger,1
scale,1
prints,1
combinations,1
rotating,1
one,1
two,1
indepth,1
photographic,1
tools,1
upon,1
knowledge,1
may,1
nonsilver,1
darkroom,1
negatives,1
large,1
format,1
cameras,1
continuation,1
mold,1
bronze,1
wax,1
patina,1
working,1
fiberglass,1
reinforced,1
resin,1
etc,1
enameling,1
cold,1
connections,1
assigned,1
projects,1
patination,1
high,1
temperature,1
wheelthrown,1
lowtemperature,1
handbuilt,1
manipulation,1
special,1
assignmentstopics,1
addressing,1
current,1
investigates,1
throughout,1
learning,1
sustainability,1
social,1
justice,1
driving,1
factor,1
issue,1
based,1
use,1
hands,1
visualize,1
stakes,1
solutions,1
climate,1
change,1
needed,1
reinforces,1
dynamic,1
skill,1
sets,1
respond,1
asks,1
everyone,1
involved,1
contribute,1
help,1
becomes,1
reflects,1
maker,1
experimental,1
selected,1
hours,1
arranged,1
staff,1
explored,1
prerequisite,1
courses,1
aesthetically,1
series,1
drawings,1
apply,1
understand,1
compare,1
attitudes,1
approaches,1
create,1
personally,1
expressive,1
contentdriven,1
intensive,1
developing,1
thematic,1
prepare,1
entry,1
marketready,1
complex,1
material,1
aesthetic,1
awareness,1
perspectives,1
expression,1
